gene_name,Asn_1,Asn_2,Asn_3,Nitrate_1,Nitrate_2,Nitrate_3,Ni_N1,Ni_N2,Ni_N3,Ni_SM1,Ni_SM2,Ni_SM3
Phatr3_J7893,1499,1876,1346,2221,3167,339,2759,2515,4208,1104,1324,2851
Phatr3_J33928,787,578,614,1505,2406,1101,2124,1322,2431,2560,3205,4400
Phatr3_EG02641,1934,2507,2498,820,1173,46,1013,1140,1861,1189,1040,4296
Phatr3_EG01590,580,573,731,586,768,394,795,645,901,400,486,875
Phatr3_EG02640,868,1000,1052,688,1032,658,1111,769,1254,460,617,750
Phatr3_EG02639,873,658,1411,855,874,1001,960,802,1185,434,534,1267
Phatr3_J33932,272,191,428,100,81,114,101,80,137,114,120,139
Phatr3_EG02637,571,607,817,290,252,261,426,327,523,625,866,1197
Phatr3_J44482,1532,1744,2028,1506,1894,1165,2010,1363,2277,1177,1538,2666
Phatr3_J1769,653,628,959,469,553,625,894,568,806,983,1085,2223
Phatr3_J44484,2926,3722,5058,3055,3790,3273,4910,2220,3358,2561,3466,5802
Phatr3_J44485,4774,4874,5642,3430,4891,1906,5786,3938,6243,1868,2256,3574
Phatr3_J44486,4261,3998,4730,3045,4535,1788,4562,4170,6727,2446,2606,5734
Phatr3_EG01604,66,44,101,46,40,77,52,56,81,82,64,325
Phatr3_J44487,173,87,173,80,113,199,181,144,160,69,84,118
Phatr3_J44488,57787,54972,68339,29903,52634,53264,62822,38453,73908,27724,35494,41659
Phatr3_J44489,1980,1882,2960,1950,2088,1755,2165,1779,2417,1338,1783,3006
Phatr3_J10800,550,537,966,358,544,544,755,511,780,640,605,1897
Phatr3_J10723,364,185,326,335,270,270,374,371,453,2123,1953,4996
Phatr3_J44492,1334,1427,1757,659,734,507,864,731,1073,903,1057,1476
Phatr3_J10925,405,239,491,437,446,564,480,370,536,254,332,539
Phatr3_J44493,3868,2405,5018,2071,2702,3378,3133,3009,3673,893,1101,2589
Phatr3_J33947,927,1056,2247,626,698,172,1044,1027,1593,1717,1600,5467
Phatr3_J19025,18633,19004,27631,21688,22368,5681,21928,22062,30277,6609,8641,20777
Phatr3_J19030,11237,10546,10485,11158,16096,7155,15901,15758,24476,4404,5296,9467
Phatr3_J26157,847,960,851,941,1215,623,1131,1055,1428,1232,1402,2284
Phatr3_J44497,708,501,1073,461,364,467,483,583,864,448,503,1516
Phatr3_J33952,429,391,542,410,728,467,691,485,827,229,239,647
Phatr3_EG02643,21508,19517,19522,17821,38994,14995,38144,26660,45853,13357,15678,23954
Phatr3_J33955,688,680,849,665,1064,628,1000,901,1477,371,386,586
Phatr3_J44500,1065,840,1255,765,942,917,1031,840,1321,660,858,1430
Phatr3_EG02642,567,488,723,365,527,370,546,449,635,1195,1079,3236
Phatr3_J44502,672,509,829,295,508,157,474,485,545,828,740,2606
Phatr3_J2834,603,530,727,393,430,334,521,492,722,686,816,1487
Phatr3_EG01542,258,189,340,181,255,361,286,262,376,319,406,655
Phatr3_J11088,5106,4937,6504,3012,4098,668,3651,4085,5609,2579,2687,6903
Phatr3_J44505,607,478,848,289,429,232,404,401,666,893,953,3615
Phatr3_J44506,69,59,136,98,76,45,103,64,107,389,279,651
Phatr3_J44507,3211,3004,3997,3545,4170,2881,4781,3651,5657,1370,1658,2231
Phatr3_J10722,1160,1771,1708,332,504,99,966,705,1021,908,1024,2570
Phatr3_J26173,4068,3954,5547,4385,5566,3403,5449,3968,5181,2059,2235,7114
Phatr3_J44510,17630,38933,38255,6084,6925,4150,9414,5223,6894,4617,5893,12622
Phatr3_J44511,444,338,686,458,410,499,544,322,528,103,164,281
Phatr3_J44512,1026,950,1327,970,1140,697,1273,1086,1599,693,847,2252
Phatr3_J33969,688,585,998,654,531,453,631,485,724,416,508,1006
Phatr3_J26176,2308,2890,4396,2221,2326,475,2671,2266,3434,738,1127,1781
Phatr3_EG01612,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_EG02384,689,737,1215,518,529,563,929,692,937,1914,1971,5849
Phatr3_J44515,448,457,543,360,659,292,608,464,758,506,572,1273
Phatr3_EG01562,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J44516,688,606,1022,740,599,490,727,675,890,706,893,3310
Phatr3_J44517,176,84,219,166,121,105,178,170,183,43,51,405
Phatr3_EG01574,0,0,2,0,0,0,0,0,1,0,0,0
Phatr3_J10747,4259,2426,3874,6946,7657,3517,6939,7798,11828,2094,2417,6817
Phatr3_J44519,1364,818,1654,1226,1095,413,952,1199,1771,1833,1942,4330
Phatr3_J33977,65,57,64,44,58,53,68,45,78,20,35,65
Phatr3_J44520,1144,990,1524,1093,1286,787,1425,1424,1779,611,622,1129
Phatr3_J44521,354,253,409,316,326,312,375,356,547,385,570,874
Phatr3_J44522,0,1,4,3,3,3,3,1,3,55,82,106
Phatr3_J44523,20,39,58,12,53,69,35,19,37,74,105,235
Phatr3_EG02393,38,73,72,26,66,78,78,27,66,107,138,295
Phatr3_J44526,2960,2972,3145,1571,3124,1800,2773,2344,3912,2753,3326,4326
Phatr3_J44527,1092,698,1439,1139,999,950,1240,978,1153,5284,5145,17770
Phatr3_J54251,1509,1432,1774,1287,2226,1372,2183,1595,2945,6994,9311,9208
Phatr3_J44529,3009,3107,3818,3040,3362,2238,4341,3473,5315,1117,1232,2495
Phatr3_J44530,860,564,803,419,652,407,614,745,1121,477,481,1176
Phatr3_J44531,468,638,784,323,377,826,556,202,327,1280,1477,2365
Phatr3_J44532,989,971,1573,652,837,1086,1231,822,1058,1473,1655,3045
Phatr3_EG01603,344,392,435,260,428,351,662,408,512,429,429,976
Phatr3_J44534,774,617,1025,618,698,704,814,651,909,474,535,716
Phatr3_J44535,4190,3382,5367,2411,3475,3644,3615,2968,4412,1821,2192,4155
Phatr3_J44536,548,423,755,348,404,399,511,494,678,2683,2661,7977
Phatr3_J44537,207,156,278,108,99,115,138,126,195,2918,2667,10819
Phatr3_EG02631,1672,1020,2009,2247,1760,2565,2036,1732,2593,10139,10384,28539
Phatr3_EG01579,3,3,2,1,1,1,2,4,2,3,5,9
Phatr3_EG01602,5,6,9,0,4,7,1,0,9,30,9,23
Phatr3_EG02644,151,95,224,177,159,206,188,153,247,401,464,1463
Phatr3_EG01587,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_EG02630,1,6,7,2,6,3,4,0,2,1,0,0
Phatr3_J10704,0,0,0,0,0,0,0,0,0,0,2,0
Phatr3_J26190,1778,1071,2129,1313,1515,1549,1748,1547,2522,1200,1265,2441
Phatr3_J11084,610,485,810,471,540,509,603,568,776,637,734,1802
Phatr3_J10799,555,479,664,368,457,324,455,457,588,659,781,1210
Phatr3_J34003,1560,1394,2528,1124,876,886,1145,1002,1528,1326,1707,4716
Phatr3_J34004,14,29,52,116,229,207,247,184,255,34,39,83
Phatr3_J44545,1092,1162,1624,732,1241,728,1193,882,1289,4286,4807,12895
Phatr3_J44546,67,40,103,115,122,270,132,73,131,603,669,1712
Phatr3_J44547,2593,2320,2333,2281,3213,1593,3074,2927,4396,1247,1549,2546
Phatr3_J50804,9952,6379,11152,8516,11313,3990,9973,10582,18279,2948,3529,6098
Phatr3_J44549,3811,3346,5566,3058,3403,1767,3038,3587,5628,1052,1367,2055
Phatr3_J34010,6221,6801,6975,5049,7404,5240,8071,5879,9915,1934,2235,3090
Phatr3_J34011,6,4,1,1,6,3,2,3,9,3,6,25
Phatr3_J44551,3492,2123,5027,3753,2629,2148,3472,2862,3536,1586,1949,5758
Phatr3_J44552,501,468,550,335,479,271,431,359,574,228,272,551
Phatr3_J34014,814,740,957,526,821,613,871,778,1211,619,644,967
Phatr3_J44554,1841,1369,2554,1292,1652,1777,1712,1698,2514,466,586,1207
Phatr3_J44555,2576,2392,3564,680,816,87,880,877,1371,1314,1541,5380
Phatr3_J44556,2145,1780,3530,1789,1513,1333,2385,2047,2772,1955,2208,4803
Phatr3_J5605,6798,6995,11770,3604,3539,2132,5938,4439,7355,7665,10499,22360
Phatr3_J44558,503,537,755,395,385,383,551,389,626,921,1040,3036
Phatr3_J54257,3663,2535,4085,2178,2973,2501,3129,2938,4157,15349,15399,37963
Phatr3_J50806,1506,1274,2015,1383,1637,1546,2148,1726,2385,3313,3560,9209
Phatr3_J44561,815,803,1166,505,863,379,891,788,1183,297,333,820
Phatr3_J10788,852,831,1253,599,761,396,1018,698,1097,1841,1971,4644
Phatr3_J10972,1077,1026,1379,1090,1256,731,1340,1010,1581,1685,2124,2983
Phatr3_EG02392,1661,1416,1919,1259,1378,1717,1680,1209,1945,2146,2401,4387
Phatr3_EG01611,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J34027,11,14,19,3,1,5,7,4,5,11,17,25
Phatr3_J34028,1312,1396,1678,1262,1550,1027,1631,1328,1923,630,961,1425
Phatr3_J44566,163,135,177,137,215,161,251,184,307,247,217,483
Phatr3_J6635,1072,821,1466,972,1046,1498,1324,1099,1584,378,487,981
Phatr3_EG02136,49,57,79,75,87,218,146,75,106,54,46,181
Phatr3_EG02132,0,0,0,0,2,0,1,0,1,0,0,0
Phatr3_EG01577,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J19089,1684,1885,2406,1398,1632,2199,2149,1405,2128,30070,35885,48437
Phatr3_EG01543,515,1184,696,194,499,111,671,333,583,896,1031,1615
Phatr3_J44570,947,995,1501,503,621,450,672,478,873,747,948,1813
Phatr3_J44571,1376,1010,1615,912,1177,719,1086,1069,1516,606,679,1287
Phatr3_J44572,1144,866,1607,1277,1335,753,1250,1199,1671,345,399,986
Phatr3_EG01563,574,376,780,582,613,409,539,457,677,1293,1373,3352
PTsRNA00011a,34,12,47,25,11,11,21,27,22,140,122,568
Phatr3_J44574,1409,1013,1678,979,1086,846,1157,1227,1542,939,1038,2173
Phatr3_J19093,2732,2315,2992,2240,2947,2438,3147,2474,4171,1724,1846,2827
Phatr3_J44576,943,589,1359,441,356,580,564,429,686,339,340,756
Phatr3_J44577,2973,2208,4342,1823,1657,2652,2267,1869,2643,832,885,1936
Phatr3_J44578,2171,1647,2472,1584,1979,1445,1675,1622,2583,1744,2023,3260
Phatr3_EG02124,116,102,169,95,102,147,117,107,136,318,326,912
Phatr3_EG01605,605,411,751,425,363,380,416,362,638,455,550,1061
Phatr3_EG02126,342,261,487,216,298,333,434,296,405,236,329,610
Phatr3_J44582,174,184,209,144,232,108,188,169,260,365,407,675
Phatr3_J44583,25,58,55,41,42,47,35,37,68,89,78,187
Phatr3_EG01583,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J19103,875,996,1246,887,1113,606,1242,806,1275,569,787,849
Phatr3_J10769,1528,3085,3461,2273,4329,978,4572,1391,2617,744,1486,1489
Phatr3_J44584,2020,2025,2886,1483,1701,924,1803,1426,2418,1417,1555,3833
Phatr3_J44585,3793,3899,5403,5151,6200,3882,6977,5130,7744,1782,2279,4509
Phatr3_J34050,565,654,689,289,271,43,358,300,513,275,310,839
Phatr3_J44586,4170,3886,5778,3085,3814,4299,3992,3038,4857,1456,1781,3596
Phatr3_J41845,9788,10735,11804,8069,11726,5601,11904,10925,16276,4533,5002,11995
Phatr3_J7358,657,596,845,744,841,607,935,851,1237,562,626,946
Phatr3_J51691,3067,3251,4121,3311,3765,2961,4009,3307,5095,1863,2213,3307
Phatr3_J44590,553,466,840,340,474,266,527,434,735,401,428,1102
Phatr3_J44591,2255,1613,2441,1276,1714,1360,1933,1699,2318,1987,1978,4794
Phatr3_J44592,617,585,785,356,469,121,412,388,599,194,212,383
Phatr3_EG01546,0,0,0,0,0,0,0,0,0,0,0,0
Phatr3_J44593,1140,913,1424,827,879,847,854,870,1276,390,450,978
Phatr3_J34059,327,404,583,229,221,298,402,283,421,295,362,457
Phatr3_J34060,1227,1465,1764,714,991,878,1475,1054,1746,928,1066,1650
Phatr3_J34061,927,774,1322,1103,911,941,1023,1012,1541,695,790,1970
Phatr3_J44595,1873,1378,2592,1006,1458,1201,1406,1583,2096,1220,1305,2806
Phatr3_J44596,2744,2673,4001,2364,3096,2201,3109,2512,3834,1452,1897,2838
